st,statefip,year,adopt_year,unins
NM,35,2014,2014,0.223517079
NM,35,2015,2014,0.172906631
NM,35,2016,2014,0.137300982
NM,35,2017,2014,0.145656374
NM,35,2018,2014,0.147190048
NM,35,2019,2014,0.153451792
NM,35,2020,2014,0.139675072
NM,35,2021,2014,0.149148234
NY,36,2008,2014,0.166902724
NY,36,2009,2014,0.170975967
NY,36,2010,2014,0.177740084
NY,36,2011,2014,0.16995991
NY,36,2012,2014,0.163265084
NY,36,2013,2014,0.16033561
NY,36,2014,2014,0.128658519
NY,36,2015,2014,0.107418899
NY,36,2016,2014,0.090632276
NY,36,2017,2014,0.085899624
NY,36,2018,2014,0.0804351
NY,36,2019,2014,0.079910176
NY,36,2020,2014,0.077912503
NY,36,2021,2014,0.076644297
NC,37,2008,,0.216073245
NC,37,2009,,0.231280262
NC,37,2010,,0.246060081
NC,37,2011,,0.239456135
NC,37,2012,,0.245112261
NC,37,2013,,0.233800775
NC,37,2014,,0.199094576
NC,37,2015,,0.173207374
NC,37,2016,,0.161492173
NC,37,2017,,0.164032695
NC,37,2018,,0.164490996
NC,37,2019,,0.173830631
NC,37,2020,,0.163425094
NC,37,2021,,0.155982271
ND,38,2008,2014,0.125917537
ND,38,2009,2014,0.138032898
ND,38,2010,2014,0.140858329
ND,38,2011,2014,0.139326743
ND,38,2012,2014,0.151613201
ND,38,2013,2014,0.138802624
ND,38,2014,2014,0.107717614
ND,38,2015,2014,0.100165518
ND,38,2016,2014,0.094784034
ND,38,2017,2014,0.102326395
ND,38,2018,2014,0.102805344
ND,38,2019,2014,0.089576244
ND,38,2020,2014,0.093537116
ND,38,2021,2014,0.09778893
OH,39,2008,2014,0.16362051
OH,39,2009,2014,0.179844121
OH,39,2010,2014,0.184906909
OH,39,2011,2014,0.180468386
OH,39,2012,2014,0.177055893
OH,39,2013,2014,0.169220196
OH,39,2014,2014,0.127191231
OH,39,2015,2014,0.097104303
OH,39,2016,2014,0.085885566
OH,39,2017,2014,0.088055629
OH,39,2018,2014,0.096486937
OH,39,2019,2014,0.099023341
OH,39,2020,2014,0.100696661
OH,39,2021,2014,0.094364364
OK,40,2008,2021,0.266994956
OK,40,2009,2021,0.272745209
OK,40,2010,2021,0.285631774
OK,40,2011,2021,0.271627289
OK,40,2012,2021,0.271401219
OK,40,2013,2021,0.2590846
OK,40,2014,2021,0.228200241
OK,40,2015,2021,0.217672812
OK,40,2016,2021,0.21380732
OK,40,2017,2021,0.215617266
OK,40,2018,2021,0.212240548
OK,40,2019,2021,0.231418812
OK,40,2020,2021,0.232294944
OK,40,2021,2021,0.214347139
OR,41,2008,2014,0.219720627
OR,41,2009,2014,0.245263838
OR,41,2010,2014,0.250914198
OR,41,2011,2014,0.234741234
OR,41,2012,2014,0.223484604
OR,41,2013,2014,0.22478963
OR,41,2014,2014,0.15323923
OR,41,2015,2014,0.106347395
OR,41,2016,2014,0.095994439
OR,41,2017,2014,0.107533842
OR,41,2018,2014,0.11229966
OR,41,2019,2014,0.108727903
OR,41,2020,2014,0.101849213
OR,41,2021,2014,0.09396356
PA,42,2008,2015,0.133804475
PA,42,2009,2015,0.145472417
PA,42,2010,2015,0.156891083
PA,42,2011,2015,0.155158373
PA,42,2012,2015,0.148913826
PA,42,2013,2015,0.148325497
PA,42,2014,2015,0.131119113
PA,42,2015,2015,0.098520107
PA,42,2016,2015,0.088472014
PA,42,2017,2015,0.083243596
PA,42,2018,2015,0.086175087
PA,42,2019,2015,0.087488678
PA,42,2020,2015,0.091679151
PA,42,2021,2015,0.082230481
RI,44,2008,2014,0.144722549
RI,44,2009,2014,0.166145932
RI,44,2010,2014,0.178353808
RI,44,2011,2014,0.167116234
RI,44,2012,2014,0.166557805
RI,44,2013,2014,0.175811743
RI,44,2014,2014,0.102778722
RI,44,2015,2014,0.072320147
RI,44,2016,2014,0.063004121
RI,44,2017,2014,0.067540571
RI,44,2018,2014,0.062550689
RI,44,2019,2014,0.063919382
RI,44,2020,2014,0.050124093
RI,44,2021,2014,0.064787917
SC,45,2008,,0.227939667
SC,45,2009,,0.244659959
SC,45,2010,,0.254748116
SC,45,2011,,0.249995448
SC,45,2012,,0.248530573
SC,45,2013,,0.242667547
SC,45,2014,,0.214538244
SC,45,2015,,0.174019915
SC,45,2016,,0.158882033
SC,45,2017,,0.178989167
SC,45,2018,,0.170618732
SC,45,2019,,0.169055913
SC,45,2020,,0.164813434
SC,45,2021,,0.159663052
SD,46,2008,,0.152727579
SD,46,2009,,0.199365507
SD,46,2010,,0.176897536
SD,46,2011,,0.178047119
SD,46,2012,,0.168096788
SD,46,2013,,0.185717931
SD,46,2014,,0.147936971
SD,46,2015,,0.169669911
SD,46,2016,,0.132847986
SD,46,2017,,0.137874753
SD,46,2018,,0.14648372
SD,46,2019,,0.147070208
SD,46,2020,,0.154763222
SD,46,2021,,0.136730125
TN,47,2008,,0.191043526
TN,47,2009,,0.21644488
TN,47,2010,,0.223881888
TN,47,2011,,0.228122088
TN,47,2012,,0.214451568
TN,47,2013,,0.213242647
TN,47,2014,,0.185539264
TN,47,2015,,0.16099482
TN,47,2016,,0.145368834
TN,47,2017,,0.148371564
TN,47,2018,,0.160570868
TN,47,2019,,0.159214846
TN,47,2020,,0.158184665
TN,47,2021,,0.158991712
TX,48,2008,,0.310844589
TX,48,2009,,0.322613556
TX,48,2010,,0.329876343
TX,48,2011,,0.323966931
TX,48,2012,,0.31914566
TX,48,2013,,0.312860159
TX,48,2014,,0.27282264
TX,48,2015,,0.248535776
TX,48,2016,,0.243823285
TX,48,2017,,0.252006435
TX,48,2018,,0.255100834
TX,48,2019,,0.259884964
TX,48,2020,,0.251105213
TX,48,2021,,0.256510053
UT,49,2008,2020,0.186012059
UT,49,2009,2020,0.19159428
UT,49,2010,2020,0.211534235
UT,49,2011,2020,0.203487906
UT,49,2012,2020,0.193574278
UT,49,2013,2020,0.185699262
UT,49,2014,2020,0.169680995
UT,49,2015,2020,0.148551927
UT,49,2016,2020,0.123418735
UT,49,2017,2020,0.126121709
UT,49,2018,2020,0.123567256
UT,49,2019,2020,0.127322754
UT,49,2020,2020,0.116403312
UT,49,2021,2020,0.118743959
VT,50,2008,2014,0.121707846
VT,50,2009,2014,0.128321834
VT,50,2010,2014,0.121583239
VT,50,2011,2014,0.108084376
VT,50,2012,2014,0.099525695
VT,50,2013,2014,0.106232451
VT,50,2014,2014,0.073457757
VT,50,2015,2014,0.066143254
VT,50,2016,2014,0.055772886
VT,50,2017,2014,0.064815354
VT,50,2018,2014,0.059016567
VT,50,2019,2014,0.069807393
VT,50,2020,2014,0.069726645
VT,50,2021,2014,0.050326549
VA,51,2008,2019,0.155093735
VA,51,2009,2019,0.161977443
VA,51,2010,2019,0.179434589
VA,51,2011,2019,0.177785298
VA,51,2012,2019,0.179619883
VA,51,2013,2019,0.177963429
VA,51,2014,2019,0.153182296
VA,51,2015,2019,0.134847287
VA,51,2016,2019,0.128008628
VA,51,2017,2019,0.130320001
VA,51,2018,2019,0.127337316
VA,51,2019,2019,0.117041034
VA,51,2020,2019,0.105465603
VA,51,2021,2019,0.098220898
WA,53,2008,2014,0.17446877
WA,53,2009,2014,0.191178708
WA,53,2010,2014,0.206937083
WA,53,2011,2014,0.205553217
WA,53,2012,2014,0.20289222
WA,53,2013,2014,0.207213067
WA,53,2014,2014,0.134723646
WA,53,2015,2014,0.09760371
WA,53,2016,2014,0.090075754
WA,53,2017,2014,0.090961794
WA,53,2018,2014,0.098638901
WA,53,2019,2014,0.098487079
WA,53,2020,2014,0.094983879
WA,53,2021,2014,0.095579167
WV,54,2008,2014,0.220752678
WV,54,2009,2014,0.220637115
WV,54,2010,2014,0.231725275
WV,54,2011,2014,0.245342797
WV,54,2012,2014,0.231732042
WV,54,2013,2014,0.21932401
WV,54,2014,2014,0.151477173
WV,54,2015,2014,0.094750228
WV,54,2016,2014,0.08739915
WV,54,2017,2014,0.096613356
WV,54,2018,2014,0.105909404
WV,54,2019,2014,0.109890582
WV,54,2020,2014,0.11554344
WV,54,2021,2014,0.10575016
WI,55,2008,2014,0.126264373
WI,55,2009,2014,0.13533302
WI,55,2010,2014,0.142824278
WI,55,2011,2014,0.138925618
WI,55,2012,2014,0.138683248
WI,55,2013,2014,0.1363611
WI,55,2014,2014,0.109229631
WI,55,2015,2014,0.086889378
WI,55,2016,2014,0.079235086
WI,55,2017,2014,0.075784892
WI,55,2018,2014,0.08403794
WI,55,2019,2014,0.088059781
WI,55,2020,2014,0.084387685
WI,55,2021,2014,0.080908572
WY,56,2008,,0.189473272
